likelihood,ari,step_num
-447858.00530852645,-0.004452595963168631,0
-447775.67568751,-0.004645706368749415,1
-447528.4622234749,-0.0046294411198996265,2
-447387.94508030463,0.0003112947388945912,357
-447361.67203656427,-0.00013821487182714317,362
-447209.92355904076,-0.00020597613802175933,367
-447001.15938628215,0.00016089776202365613,380
-446991.7839982605,0.0006618013805599698,382
-446255.6263253973,-6.469770328274649e-05,383
-446087.2697496629,0.0004361662036307668,387
-445914.85064759117,0.0005368902042009938,389
-445026.3835424604,0.0002857427523446315,405
-443616.3891257259,0.0005368902042009938,407
-443507.960895419,0.0007713748609104627,410
-443282.0659902132,-6.469770328274649e-05,419
-442764.43860131514,0.0006618013805599698,420
-442697.1514712595,0.0016655964422875222,423
-442165.65302588174,0.0025426262987355984,424
-441630.30084244127,0.0016655964422875222,428
-441175.4583527819,0.0015231833216275566,429
-441042.0236771839,0.0017407552470422999,430
-440894.56632887403,0.0031688372994423575,445
-440375.39914739004,0.0030184403225714225,450
-438895.4228482219,0.004046329034498014,451
-438766.3176951476,0.003870980208932171,465
-438753.2372279818,0.004898402533458111,472
-437623.67665061203,0.005582949009499864,476
-437582.6665201589,0.00602480711806463,479
-437532.66759210546,0.005958853239858411,481
-437304.8604932725,0.006560300008432086,484
-436214.0356125771,0.0056490130942907415,488
-436005.23344939266,0.005733310701643283,493
-434645.1841366233,0.005951181371554657,495
-434488.3643402792,0.00645310425507618,497
-433656.520272935,0.00678781769294944,498
-433601.9063700429,0.005725585906248254,524
-433536.10294465604,0.00645310425507618,527
-433141.51249825757,0.007680746605570409,530
-432880.54588530096,0.008559032573082074,533
-432873.9881020756,0.009570978155336661,539
-431906.9385041738,0.01099596992666294,550
-431632.8096112589,0.011741464981085657,551
-431001.2192784044,0.012713940741239847,558
-430394.8747438526,0.012187829107956403,564
-430095.6942279912,0.011694376830157897,588
-429923.0819873315,0.012296176570252183,595
-429904.59469934786,0.013198876180393613,598
-429802.26052769163,0.011868348501377052,607
-428804.7075864853,0.013031123595061315,608
-428690.41929714073,0.012846100934736931,610
-428240.92829529475,0.013320633238230475,616
-427969.4119188042,0.013928022923459606,620
-426745.87145083887,0.014905373922391829,631
-426694.9164028736,0.015576587891294501,634
-426329.9223763952,0.017343703627686266,663
-426318.5783923515,0.016695304128739735,664
-425651.01009880326,0.01640532531922316,665
-425492.5531425144,0.015343476088895339,667
-424155.26607586246,0.018125374683583842,708
-424155.1485754443,0.0178696302332835,709
-423964.5228172693,0.01894835086181373,710
-423797.5751196509,0.019222012933390667,716
-422893.4182839286,0.020755932850001064,720
-421659.700801161,0.02255322563473212,770
-421400.06692598865,0.02165997137185648,771
-421395.18349047884,0.022026977873911925,794
-421311.7680429827,0.023047295643490857,796
-421255.76402571565,0.021583581077841658,804
-420330.1332253452,0.022938331999408312,823
-419740.1744855462,0.026297578813547988,832
-419338.1384420784,0.028104089519528752,834
-418958.37594283925,0.029220710930697186,838
-418856.06728915795,0.030275672954611088,839
-418856.0372436469,0.030194862282136855,840
-418608.7550040099,0.031398905765860574,851
-418473.10011733224,0.030194862282136855,854
-418419.7844983785,0.030275672954611088,857
-417995.22420876595,0.030487799023064723,858
-417392.5156828294,0.030531847617789855,861
-416990.8766993522,0.02045529763098195,1914
-416498.25099606154,0.02237757256697406,1940
-416129.8701742511,0.024355663021191316,1970
-415936.3537860689,0.024355663021191316,1980
-415642.109849152,0.023579690522624874,1981
-415440.721803233,0.024362360770353614,1985
-415426.31449013023,0.02375485055903825,1987
-415216.48536909523,0.024856940850503866,1990
-415206.2324523546,0.026092207987590283,1991
-415109.77508813504,0.026735250156208267,1992
-414765.10725443903,0.025857694176573978,2000
-414674.11974874896,0.025577986853211682,2028
-414550.2808011502,0.03332343116206484,4489
-414430.3772129332,0.03384982058111311,4493
-414354.8172983979,0.03242251105710012,4494
-414120.8920260292,0.03249624778927469,4497
-413610.86081905826,0.03242251105710012,4500
-413578.1254597959,0.03248070639174639,4502
-413229.58078523865,0.040935268507333526,4759
-413138.004824702,0.041704122865861074,4760
-413098.01555079134,0.03764863874632788,4773
-412683.03039757995,0.03862497148464405,4784
-412490.97797102644,0.040256819023138116,4817
-412400.54617173644,0.04072682990569738,4819
-412098.7913355252,0.043420227022208276,4891
-411912.34922634764,0.044058967076610014,4892
-411907.03573251667,0.04364588868132075,4901
-411565.01659736724,0.045395162275437946,4902
-411098.76692858024,0.046760879295154156,4920
-410981.94756364805,0.04912469708020471,4932
-410978.743579864,0.04961691387583571,4935
-410882.9754840543,0.04889929996352018,4936
-410838.1377388911,0.04831305994954479,4939
-410458.5942998086,0.049059197217730215,4942
-410124.77398563205,0.048763669296159586,4943
-410058.4538007332,0.04799771149678207,4944
-409969.4809105473,0.04883877085392872,4954
-409552.6175927457,0.04698635570941849,4964
-409507.0713777812,0.04851121211644593,4965
-409499.8766752079,0.04946659626632615,4967
-409440.2952581074,0.0485236381023793,5050
-409076.2686618977,0.0499927078996096,5052
-409016.1723990987,0.04456739896303327,5401
-408979.48655970575,0.0453586433122584,5402
-408542.91630959685,0.049073231102971036,5454
-408472.4640232904,0.050560207655495557,5466
-408468.1881948672,0.050560207655495557,5471
-408418.3071764698,0.05033677500903858,5477
-408362.84471993946,0.05190479173614674,5496
-408091.8939849757,0.05205358257234634,5555
-407714.2107681256,0.051379460692504465,5560
-407627.9560512803,0.051461369276311564,5566
-407606.57767623337,0.05359217429095061,5567
-407483.2713906565,0.05599653973163575,5571
-407300.41250783554,0.05607154626810093,5573
-407176.4471101969,0.05942303596495555,5578
-406979.75699743873,0.05889796103752796,5579
-406978.2836239059,0.05728611878506572,5591
-406891.55243546737,0.05711423195156681,5602
-406773.6123134407,0.05702172840963789,5604
-406453.08651320415,0.059670594247169605,5607
-405940.15016084234,0.05502395811694653,5766
-405898.0385568044,0.05479828321441117,5767
-405869.7011763877,0.05511509074614096,5770
-405850.5955389895,0.057311748972978985,5780
-405805.58927972446,0.05014302550911915,5908
-405628.3844560465,0.0499927078996096,5913
-405538.5719489613,0.05056610668261878,5916
-405345.9301843399,0.05138625475532497,5917
-405094.7400897533,0.05244364562684711,5919
-404853.6135392837,0.05341304680419782,5921
-404815.9337897038,0.054459095508405206,5931
-404383.58717761474,0.05472305824689939,5953
-404008.20231567445,0.05720548217478832,5954
