-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf
-inf,-9028.962337765803,-8805.814289231079,-8670.909073011615,-8575.571566066548,-8502.76585301371,-8444.529377639441,-8396.49412662929,-8356.003664481681,-8321.32132572484,-8291.249142570834,-8264.925725848518,-8241.710864786428,-8221.115707435347,-8202.758490977258,-8186.335363184766,-8171.600513462479,-8158.35226163114,-8146.42308121631,-8135.672292875859,-8125.980613653929,-8117.246023543144,-8109.380584786709,-8102.307961905036,-8095.961464942484,-8090.2824887781,-8085.219256004333,-8080.725795141696,-8076.761103209702,-8073.288454112632,-8070.274823385803,-8067.690406565049,-8065.508213463803,-8063.703724434492,-8062.254597583263,-8061.140418131581,-8060.342482845398,-8059.843613801901,-8059.6279968279905,-8059.681040787975,-8059.989254571819,-8060.540139176736,-8061.322092711978,-8062.324326512806,-8063.536790839375,-8064.950108875545,-8066.55551793869,-8068.344816975044,-8070.31031955093,-8072.444811663123
-inf,-8900.414908518735,-8702.878543404186,-8579.292662507707,-8489.975392828668,-8420.93910760636,-8365.315074568367,-8319.21368465635,-8280.222465582494,-8246.74296391112,-8217.661650488839,-8192.17176349469,-8169.67007307376,-8149.693705861444,-8131.879720022793,-8115.938259203781,-8101.634155834359,-8088.773981195813,-8077.196715036698,-8066.76688486624,-8057.36942984189,-8048.905793883784,-8041.290911078745,-8034.450849483875,-8028.320947975848,-8022.844327297057,-8017.970688583945,-8013.655335236297,-8009.85837008504,-8006.544031455896,-8003.680140251727,-8001.237636493033,-7999.190188488637,-7997.513861389712,-7996.186834616471,-7995.189159755007,-7994.50255216082,-7994.1102107885035,-7993.996661779568,-7994.147622144335,-7994.549880516813,-7995.191192478488,-7996.060188365207,-7997.146291811922,-7998.439647567963,-7999.931057344635,-8001.611922645476,-8003.474193686229,-8005.510323642102,-8007.713227568982
-inf,-8817.697673434499,-8635.179981283425,-8520.635785268481,-8436.785804582487,-8371.219192074817,-8317.97753265213,-8273.622175202985,-8235.973059919044,-8203.562112351017,-8175.354790170632,-8150.595186139413,-8128.714401324331,-8109.273625823761,-8091.9273081356505,-8076.398484189862,-8062.461753765302,-8049.931228258032,-8038.651804733953,-8028.492722606243,-8019.342722146714,-8011.1063496421775,-8003.701098067271,-7997.055166367297,-7991.105683412937,-7985.797285599149,-7981.08096682525,-7976.913140574447,-7973.254868822219,-7970.071223387997,-7967.330753338828,-7965.005037991164,-7963.068309516124,-7961.497132534863,-7960.270130679169,-7959.367752091034,-7958.772067391152,-7958.46659486621,-7958.436148589817,-7958.666705958427,-7959.145291738015,-7959.859876211625,-7960.799285418712,-7961.953121803136,-7963.311693854213,-7964.86595354459,-7966.607440550233,-7968.528232389229,-7970.620899740673,-7972.8784663113875
-inf,-8757.478683490603,-8584.57601211632,-8476.539105640868,-8397.284544960952,-8334.922316811813,-8283.94356202366,-8241.249373049372,-8204.87119030379,-8173.46709518846,-8146.079803040677,-8122.00290434779,-8100.700667961872,-8081.757395608451,-8064.844176009032,-8049.696356382757,-8036.097854894358,-8023.869973573694,-8012.863251182179,-8002.951418137969,-7994.02683571907,-7985.997003223029,-7978.781846684105,-7972.311588409197,-7966.525054222345,-7961.368314796266,-7956.793584969226,-7952.758324424064,-7949.224497089753,-7946.157956799445,-7943.527934229926,-7941.306605726976,-7939.46872881969,-7937.9913324186855,-7936.853452140332,-7936.035903093395,-7935.521083940399,-7935.292807206856,-7935.336151729124,-7935.637333863366,-7936.18359466395,-7936.963100712906,-7937.9648566650385,-7939.178627886325,-7940.594871819183,-7942.204676919314,-7943.9997081834945,-7945.972158432483,-7948.114704634647,-7950.420468656864
-inf,-8710.89037196559,-8544.645902766959,-8441.416283268016,-8365.788579162958,-8306.202565222211,-8257.322277130437,-8216.216821732098,-8181.064998067166,-8150.632365859834,-8124.034108524239,-8100.612091198249,-8079.863301521753,-8061.394830351327,-8044.894100851448,-8030.108484141493,-8016.8309603131365,-8004.889802187855,-7994.141006413314,-7984.462642761672,-7975.7505690331645,-7967.915135288559,-7960.878616254031,-7954.573187479717,-7948.939312946834,-7943.924447817068,-7939.481985275599,-7935.570394399948,-7932.152508959144,-7929.1949365247765,-7926.66756427953,-7924.543143141794,-7922.796935774373,-7921.406417054504,-7920.351017895915,-7919.611905106121,-7919.171791363843,-7919.01477050347,-7919.126174167542,-7919.49244658534,-7920.101034795243,-7920.940292080487,-7921.99939275492,-7923.268256734666,-7924.737482577622,-7926.3982878751285,-7928.242456048076,-7930.262288739008,-7932.4505631086695,-7934.800493442847
-inf,-8673.49097146767,-8512.103674991262,-8412.578151939791,-8339.83088079938,-8282.554570464965,-8235.531582743604,-8195.904277735446,-8161.926500016809,-8132.4354977654975,-8106.604785468311,-8083.819584892257,-8063.608024004814,-8045.599490810244,-8029.497564514842,-8015.061534700881,-8002.093347190096,-7990.428148397615,-7979.927297581249,-7970.473114650256,-7961.964873360053,-7954.315703587599,-7947.450167288011,-7941.302340526561,-7935.81428043211,-7930.934788289773,-7926.618402890719,-7922.824574679115,-7919.516983161794,-7916.662968808172,-7914.233057175191,-7912.200557875975,-7910.541224709814,-7909.232966099409,-7908.25559716174,-7907.590626433198,-7907.221071596845,-7907.131299605823,-7907.306887428305,-7907.734500302894,-7908.401784927955,-7909.297275439354,-7910.41031038261,-7911.730959172304,-7913.249956766888,-7914.958645481977,-7916.848923026096,-7918.913195977303,-7921.144338030918,-7923.535652443459
-inf,-8642.712970250559,-8485.014132976296,-8388.427355660562,-8318.025251858457,-8262.66844038782,-8217.244012902778,-8178.946038748348,-8146.064635629258,-8117.475088823183,-8092.389104930391,-8070.225433609246,-8050.539085080086,-8032.980036983512,-8017.2673779687375,-8003.172079337352,-7990.504961218387,-7979.107996848523,-7968.847871122536,-7959.6111170547465,-7951.300386063091,-7943.831549504367,-7937.131419629298,-7931.135938535509,-7925.788725044493,-7921.039898341862,-7916.845117786777,-7913.1647931405505,-7909.963430314399,-7907.209085757682,-7904.872908601012,-7902.928754188684,-7901.352856076297,-7900.123546211017,-7899.221015056204,-7898.627105016672,-7898.325131772504,-7898.2997291201,-7898.536713706576,-7899.02296667546,-7899.7463297495415,-7900.695513688911,-7901.860017397499,-7903.230056225864,-7904.796498244121,-7906.550807445004,-7908.4849929922675,-7910.591563758472,-7912.863487504362,-7915.294154142452
-inf,-8616.934052253817,-8462.129583006548,-8367.924297603238,-8299.47180959145,-8245.733543976166,-8201.67980107518,-8164.553272505346,-8132.670138354449,-8104.925689067452,-8080.552808164491,-8058.992136789582,-8039.81895133552,-8022.700456288222,-8007.369660320419,-7993.60850389122,-7981.23637553402,-7970.101948050424,-7960.077178377876,-7951.052786584732,-7942.934784189269,-7935.641767883621,-7929.102783455573,-7923.2556215623945,-7918.045445028834,-7913.4236735960985,-7909.347070634596,-7905.776989744196,-7902.678748994363,-7900.0211078527445,-7897.775827327272,-7895.917297998897,-7894.422223798057,-7893.269351827284,-7892.439240436575,-7891.914059248374,-7891.677416004236,-7891.714206037328,-7892.010480919225,-7892.553333427046,-7893.330796459507,-7894.33175392225,-7895.545861922652,-7896.9634788762405,-7898.575603342905,-7900.373818589936,-7902.3502430271765,-7904.497485783746,-7906.808606799521,-7909.277080892004
-inf,-8595.063140196144,-8442.592647864913,-8350.350712773918,-8283.544113505344,-8231.19147325633,-8188.3228165412165,-8152.223862583612,-8121.235771656258,-8094.268416444625,-8070.566618734167,-8049.583691504321,-8030.9082316770055,-8014.2202449125025,-7999.26412207322,-7985.831415087697,-7973.749389413933,-7962.873078704399,-7953.079551583385,-7944.263641326238,-7936.334685685441,-7929.213990052602,-7922.832823689519,-7917.130817649576,-7912.054670687039,-7907.557094608754,-7903.595947924865,-7900.133519037376,-7897.135929212671,-7894.572632251471,-7892.415992775356,-7890.640928852023,-7889.224607598735,-7888.146184662504,-7887.38658023763,-7886.928285666579,-7886.755195765784,-7886.8524628912355,-7887.206369457025,-7887.804216183577,-7888.634223808057,-7889.685446360631,-7890.947694413843,-7892.411466961956,-7894.067890792919,-7895.9086663864155,-7897.926019513807,-7900.1126578340745,-7902.461731880219,-7904.9667999138965
