-5,-767256.8088284218,0.07883529001785444
-7,-767668.7930463245,0.20505737425291348
-6,-767162.0579264645,0.16938253486666807
0,-767846.8904521324,0.21132974431472573
-1,-772845.3675550589,-0.0026350798358626597
-3,-767515.068469706,0.19278005336417273
-2,-767471.2273158117,0.1527860345511175
-4,-768888.0057428724,0.14227892434424108
-8,-768039.9952462191,0.1988606526706116
-9,-767083.766177984,0.08294209702660407
-10,-767594.1598552838,0.18089825106484933
-11,-768105.1398177798,0.05722911485481684
-12,-768239.1215637523,0.19885129342989988
-13,-768050.5044166064,0.1867876085446253
-14,-767551.8925570789,0.2373188374216265
-15,-767789.8297607286,0.20502553356459988
