-1,0.2939043338519283,0.46079555629132246,0.5642860073139244,0.5652657380485886,0.95,0.05,1.8,0.2
-2,0.3271140042403043,0.44512596115702135,0.5509626609805018,0.5918190216252526,0.95,0.05,1.7,0.3
-3,0.3241595656646429,0.45623839459104076,0.5789475237367104,0.5857390370707534,0.95,0.05,1.6,0.4
-11,0.42287916453413693,0.5492218433500924,0.5323600759025342,0.573805812894638,0.9,0.1,1.8,0.2
-4,0.3430843459751896,0.4569343517460402,0.5845746197427729,0.5162960488079864,0.95,0.05,1.5,0.5
-12,0.45233443687557845,0.5444949845901473,0.6293332055048085,0.5268840724568533,0.9,0.1,1.7,0.3
-5,0.32293637106448386,0.3986496489331353,0.6056391887800412,0.5217690464822742,0.95,0.05,1.5,0.5
-6,0.35454564235572383,0.4677696308163787,0.5462369015941035,0.4675832713999683,0.95,0.05,1.4,0.6
-13,0.37342225667604667,0.4952127727399315,0.6219492192153944,0.5393317050114547,0.9,0.1,1.6,0.4
-14,0.37961849572651907,0.4968441688991286,0.5985640218524226,0.5033531729655735,0.9,0.1,1.5,0.5
-22,0.5013128974161954,0.5747515199206016,0.6057887886828124,0.48806726455834004,0.85,0.15,1.7,0.3
-15,0.3941367757860376,0.5108460704490939,0.6004905241027434,0.48958744566545626,0.9,0.1,1.5,0.5
-7,0.292069747657591,0.42788760474722776,0.596550980518694,0.4164987455305158,0.95,0.05,1.3,0.7
-20,0.3227498627011105,0.4728092673573191,0.6026992814410982,0.3451517318982617,0.9,0.1,1.0,1.0
-9,0.32554788886494385,0.45805016395468895,0.6055350150363795,0.3990603359674093,0.95,0.05,1.1,0.9
-10,0.30221063527571784,0.43248913573671643,0.5847599547002214,0.32968642269613097,0.95,0.05,1.0,1.0
-16,0.4022976788662001,0.5166052109710235,0.5288135165572165,0.43077882826595837,0.9,0.1,1.4,0.6
-8,0.27795631185802006,0.4412361310652448,0.5911025882552341,0.3928985354087583,0.95,0.05,1.2,0.8
-21,0.5154504812539731,0.5739633997096667,0.5598511847673343,0.4845898975206319,0.85,0.15,1.8,0.2
-18,0.37478586541275044,0.4643303497355957,0.5951526633816928,0.37553674339054083,0.9,0.1,1.2,0.8
-17,0.37673341612262073,0.4721015484895779,0.5797543944768492,0.3578581544484873,0.9,0.1,1.3,0.7
-19,0.3015265558782206,0.46039524530466125,0.6129809634953451,0.35587053312289774,0.9,0.1,1.1,0.9
-25,0.4718631300764337,0.5574613993332551,0.6500705288143073,0.48067714083409685,0.85,0.15,1.5,0.5
-23,0.4538378387295049,0.49905878601560216,0.564851713819689,0.4672371314974646,0.85,0.15,1.6,0.4
-26,0.39697100045264266,0.5278622876962877,0.6203695889716221,0.4025581248008384,0.85,0.15,1.4,0.6
