likelihood,ari,step_num
<<<<<<< HEAD
-1301616.1727259234,0.003265693703866052,0
-1301290.0683016044,0.004427823037979361,1
-1301196.0193917495,0.004425607667189336,3
-1300589.6290827058,0.004427823037979361,5
-1300439.9290055204,0.005683096456735616,6
-1300340.8609536744,0.004427823037979361,7
-1300270.849939134,0.004427823037979361,9
-1300244.9554820633,0.003268466139440059,16
-1299750.8958019668,0.0003448560036007024,19
-1299121.6049171402,0.0012292067495628383,36
-1299062.4954540303,-0.0022622011414530473,91
-1298897.9849595604,-0.0017515507928334757,92
-1298797.3066098564,-0.0032352521559736295,140
-1298616.042767419,-0.0033733022292603532,141
-1298094.797425883,-0.003232461637894131,142
-1297710.1636457718,-0.002258855762511823,169
-1297512.4773019075,-0.0017465352887891734,170
-1296926.074039224,-0.002678028225130228,244
-1296800.5176618036,-0.002675239256979772,246
-1296784.4642687645,-0.002258855762511823,247
-1296783.2393443845,-0.002678028225130228,250
-1295520.9522597636,-0.0022610860126579,255
-1295512.9198272189,-0.0026797016134678005,256
-1295195.0529593169,-0.0029984722371899307,271
-1295080.6778615804,-0.0026713347276344614,272
-1294411.354390132,-0.003223532084358469,276
-1294364.2149065079,-0.003223532084358469,278
-1294301.4468765238,-0.0033733022292603532,301
-1294276.9388954353,-0.003232461637894131,303
-1294151.9491585912,-0.0029984722371899307,304
-1294010.9484015151,-0.002675239256979772,306
-1293483.6584896096,-0.0022555104059031232,307
-1293187.9679304224,-0.0017426343759208188,309
-1292508.852104351,-0.0022555104059031232,311
-1291743.741268967,-0.0017465352887891734,312
-1291364.1706318485,-0.0022555104059031232,314
-1290913.4448968316,-0.0017465352887891734,317
-1290616.2178643856,-0.0004424538835217188,321
-1290611.3760711194,-0.0011410676589729124,323
-1290568.3246591506,-0.00044634973332233533,324
-1290334.6195503976,0.0003448560036007024,326
-1290171.0667018956,0.0012292067495628383,327
-1290140.204380231,0.0003448560036007024,328
-1289840.5138440346,-0.00044634973332233533,330
-1288537.9059156652,-0.0011410676589729124,332
-1287392.7223437903,-0.0004424538835217188,333
-1286834.2669048177,0.004425607667189336,346
-1285863.6186197058,0.002202260581817721,357
-1285723.604618085,0.003277337829634134,364
-1285034.9057234214,0.004435576758102521,365
-1284684.7313985492,0.0032723475233328524,366
-1283246.9250311037,0.0022067011836803627,370
-1283097.5012219846,0.0012292067495628383,372
-1282402.7741195937,0.002202260581817721,374
-1282387.5181644643,0.0032723475233328524,376
-1280603.6982096715,0.004441115055675523,384
-1278983.009136997,0.0032834370250314046,385
-1278961.1402241946,0.0022189126350046808,386
-1278254.5616994842,0.00329064506881052,387
-1277515.2327724728,0.0044477609314268595,390
