job_id,rep,n_steps,theta_1,theta_2,theta_3,theta_4,theta_5,theta_6,modularity,proportion_pure_edges,mean_majority_proportion
4,0,1000,0.9500,0.0500,1.0000,0.5000,0.2000,0.1000,0.2515,0.5279,0.9051
4,0,1000,0.6500,0.3500,2.0000,0.5000,0.2000,0.1000,0.1962,0.3663,0.8391
4,0,1000,0.9000,0.1000,0.5000,0.2000,0.2000,0.1000,0.1890,0.6946,0.9259
4,0,1000,0.8250,0.1750,2.0000,0.5000,0.2000,0.1000,0.3104,0.4521,0.8846
4,0,1000,0.7250,0.2750,2.0000,0.2000,0.2000,0.1000,0.1277,0.6607,0.9368
4,0,1000,1.0000,0.0000,0.5000,0.5000,0.2000,0.1000,0.2241,0.5559,0.8958
4,0,1000,0.6500,0.3500,1.5000,0.2000,0.2000,0.1000,0.2377,0.6178,0.9029
4,0,1000,0.8250,0.1750,0.5000,0.5000,0.2000,0.1000,0.1574,0.4990,0.8467
4,0,1000,0.8000,0.2000,2.0000,0.2000,0.2000,0.1000,0.3376,0.6537,0.9324
4,0,1000,0.5250,0.4750,1.0000,0.5000,0.2000,0.1000,0.0602,0.3373,0.7804
4,0,1000,0.6500,0.3500,1.0000,0.5000,0.2000,0.1000,0.1195,0.3992,0.8217
4,0,1000,0.7250,0.2750,0.5000,0.2000,0.2000,0.1000,0.1319,0.6707,0.8989
4,0,1000,0.9000,0.1000,0.5000,0.5000,0.2000,0.1000,0.2208,0.4950,0.8545
4,0,1000,0.7250,0.2750,0.5000,0.5000,0.2000,0.1000,0.0996,0.4331,0.8120
4,0,1000,0.5250,0.4750,0.5000,0.5000,0.2000,0.1000,0.0347,0.3643,0.7724
4,0,1000,0.9000,0.1000,1.0000,0.2000,0.2000,0.1000,0.3873,0.7176,0.9383
4,0,1000,0.5750,0.4250,1.0000,0.2000,0.2000,0.1000,0.1973,0.5269,0.8567
4,0,1000,0.9000,0.1000,1.5000,0.2000,0.2000,0.1000,0.3313,0.7066,0.9466
4,0,1000,0.5250,0.4750,1.5000,0.2000,0.2000,0.1000,0.1941,0.5180,0.8677
4,0,1000,0.8250,0.1750,1.0000,0.5000,0.2000,0.1000,0.2263,0.5020,0.8742
