job_id,rep,n_steps,theta_1,theta_2,theta_3,theta_4,theta_5,theta_6,modularity,proportion_pure_edges,mean_majority_proportion
2,0,1000,0.6250,0.3750,1.5000,0.5000,0.2000,0.1000,0.1393,0.3413,0.8169
2,0,1000,0.8000,0.2000,0.5000,0.5000,0.2000,0.1000,0.1461,0.4511,0.8265
2,0,1000,0.6500,0.3500,0.5000,0.2000,0.2000,0.1000,0.1364,0.5898,0.8609
2,0,1000,0.9000,0.1000,0.5000,0.2000,0.2000,0.1000,0.3148,0.7076,0.9188
2,0,1000,0.9000,0.1000,2.0000,0.2000,0.2000,0.1000,0.4264,0.7046,0.9541
2,0,1000,1.0000,0.0000,2.0000,0.5000,0.2000,0.1000,0.3605,0.5309,0.9286
2,0,1000,0.9250,0.0750,0.5000,0.2000,0.2000,0.1000,0.3126,0.7176,0.9272
2,0,1000,0.6000,0.4000,1.0000,0.5000,0.2000,0.1000,0.0859,0.3613,0.8101
2,0,1000,0.5250,0.4750,0.5000,0.2000,0.2000,0.1000,0.1117,0.5319,0.8317
2,0,1000,0.9000,0.1000,0.5000,0.5000,0.2000,0.1000,0.2198,0.4860,0.8589
2,0,1000,0.7250,0.2750,2.0000,0.5000,0.2000,0.1000,0.2221,0.4321,0.8696
2,0,1000,0.6000,0.4000,1.5000,0.5000,0.2000,0.1000,0.1701,0.3613,0.8240
2,0,1000,0.7500,0.2500,1.5000,0.5000,0.2000,0.1000,0.2546,0.4441,0.8593
2,0,1000,0.7250,0.2750,2.0000,0.2000,0.2000,0.1000,0.3603,0.5998,0.9198
2,0,1000,0.6750,0.3250,0.5000,0.2000,0.2000,0.1000,0.2051,0.6058,0.8683
2,0,1000,0.5500,0.4500,0.5000,0.5000,0.2000,0.1000,0.0493,0.3713,0.7744
2,0,1000,0.6750,0.3250,1.0000,0.5000,0.2000,0.1000,0.1223,0.4102,0.8238
2,0,1000,0.7250,0.2750,0.5000,0.5000,0.2000,0.1000,0.0823,0.3912,0.8000
