job_id,rep,n_steps,theta_1,theta_2,theta_3,theta_4,theta_5,theta_6,modularity,proportion_pure_edges,mean_majority_proportion
5,0,1000,0.7750,0.2250,1.5000,0.2000,0.2000,0.1000,0.3592,0.6657,0.9260
5,0,1000,0.5250,0.4750,2.0000,0.2000,0.2000,0.1000,0.1532,0.4940,0.8710
5,0,1000,0.9000,0.1000,0.5000,0.5000,0.2000,0.1000,0.2076,0.5210,0.8653
5,0,1000,0.8500,0.1500,0.5000,0.2000,0.2000,0.1000,0.2976,0.7066,0.9157
5,0,1000,0.9500,0.0500,1.5000,0.2000,0.2000,0.1000,0.4264,0.7146,0.9579
5,0,1000,0.5750,0.4250,1.5000,0.2000,0.2000,0.1000,0.2369,0.4960,0.8604
5,0,1000,0.7500,0.2500,0.5000,0.2000,0.2000,0.1000,0.2373,0.6567,0.8879
5,0,1000,0.6000,0.4000,1.5000,0.2000,0.2000,0.1000,0.2421,0.5888,0.8913
5,0,1000,0.8750,0.1250,1.5000,0.2000,0.2000,0.1000,0.3072,0.7335,0.9536
5,0,1000,0.7500,0.2500,2.0000,0.2000,0.2000,0.1000,0.2411,0.6627,0.9345
5,0,1000,0.9500,0.0500,1.0000,0.2000,0.2000,0.1000,0.2918,0.7275,0.9415
5,0,1000,0.7750,0.2250,2.0000,0.2000,0.2000,0.1000,0.3940,0.6457,0.9388
5,0,1000,0.5250,0.4750,0.5000,0.2000,0.2000,0.1000,0.1345,0.5878,0.8561
5,0,1000,1.0000,0.0000,1.5000,0.5000,0.2000,0.1000,0.2357,0.5649,0.9282
5,0,1000,0.7000,0.3000,1.5000,0.5000,0.2000,0.1000,0.1909,0.4102,0.8423
5,0,1000,0.9000,0.1000,2.0000,0.5000,0.2000,0.1000,0.2516,0.5130,0.9181
5,0,1000,0.5250,0.4750,1.5000,0.2000,0.2000,0.1000,0.1918,0.6287,0.8978
5,0,1000,0.7250,0.2750,1.0000,0.2000,0.2000,0.1000,0.1705,0.6257,0.9015
5,0,1000,0.6000,0.4000,0.5000,0.2000,0.2000,0.1000,0.0559,0.5978,0.8636
5,0,1000,0.7500,0.2500,1.5000,0.5000,0.2000,0.1000,0.2465,0.4491,0.8578
5,0,1000,0.6000,0.4000,2.0000,0.2000,0.2000,0.1000,0.1919,0.6198,0.9105
5,0,1000,0.9250,0.0750,1.5000,0.2000,0.2000,0.1000,0.3483,0.7166,0.9548
5,0,1000,0.7000,0.3000,0.5000,0.2000,0.2000,0.1000,0.0983,0.6717,0.8991
5,0,1000,0.5750,0.4250,1.0000,0.2000,0.2000,0.1000,0.1481,0.5439,0.8652
5,0,1000,0.9250,0.0750,0.5000,0.2000,0.2000,0.1000,0.2814,0.7036,0.9256
5,0,1000,1.0000,0.0000,1.0000,0.2000,0.2000,0.1000,0.3895,0.7285,0.9497
5,0,1000,0.7250,0.2750,0.5000,0.2000,0.2000,0.1000,0.1513,0.6607,0.8955
5,0,1000,0.7000,0.3000,1.0000,0.5000,0.2000,0.1000,0.1230,0.3892,0.8151
5,0,1000,0.5500,0.4500,1.5000,0.5000,0.2000,0.1000,0.1233,0.3593,0.8094
5,0,1000,0.7250,0.2750,2.0000,0.5000,0.2000,0.1000,0.2645,0.4052,0.8656
5,0,1000,0.6250,0.3750,1.0000,0.5000,0.2000,0.1000,0.1244,0.3194,0.7928
5,0,1000,0.6750,0.3250,1.5000,0.5000,0.2000,0.1000,0.2056,0.4381,0.8527
5,0,1000,0.8750,0.1250,0.5000,0.5000,0.2000,0.1000,0.1536,0.5070,0.8607
5,0,1000,0.6500,0.3500,0.5000,0.2000,0.2000,0.1000,0.1961,0.6307,0.8771
5,0,1000,0.9500,0.0500,0.5000,0.5000,0.2000,0.1000,0.1159,0.5459,0.8730
5,0,1000,0.6000,0.4000,1.5000,0.5000,0.2000,0.1000,0.1523,0.3443,0.8063
5,0,1000,0.6000,0.4000,1.0000,0.5000,0.2000,0.1000,0.1282,0.3703,0.7997
5,0,1000,0.8750,0.1250,2.0000,0.5000,0.2000,0.1000,0.2827,0.4521,0.8966
5,0,1000,0.6250,0.3750,1.0000,0.2000,0.2000,0.1000,0.1214,0.6447,0.9007
5,0,1000,0.8750,0.1250,1.0000,0.2000,0.2000,0.1000,0.1708,0.6826,0.9326
5,0,1000,0.9750,0.0250,2.0000,0.2000,0.2000,0.1000,0.3713,0.7495,0.9663
5,0,1000,0.9250,0.0750,0.5000,0.5000,0.2000,0.1000,0.2045,0.5050,0.8559
5,0,1000,0.8750,0.1250,2.0000,0.2000,0.2000,0.1000,0.4016,0.6946,0.9484
5,0,1000,0.6250,0.3750,0.5000,0.5000,0.2000,0.1000,0.0633,0.3543,0.7792
5,0,1000,0.5500,0.4500,0.5000,0.2000,0.2000,0.1000,0.1548,0.6158,0.8627
5,0,1000,0.6500,0.3500,2.0000,0.2000,0.2000,0.1000,0.3417,0.5928,0.9113
5,0,1000,0.9750,0.0250,0.5000,0.2000,0.2000,0.1000,0.2410,0.7186,0.9333
5,0,1000,0.7500,0.2500,1.5000,0.2000,0.2000,0.1000,0.2048,0.6447,0.9201
5,0,1000,0.5250,0.4750,2.0000,0.5000,0.2000,0.1000,0.1299,0.3034,0.8069
5,0,1000,0.8500,0.1500,0.5000,0.5000,0.2000,0.1000,0.1555,0.4760,0.8461
5,0,1000,0.6750,0.3250,1.0000,0.2000,0.2000,0.1000,0.2153,0.6307,0.8937
5,0,1000,1.0000,0.0000,1.0000,0.5000,0.2000,0.1000,0.3319,0.5429,0.9024
5,0,1000,0.8000,0.2000,0.5000,0.2000,0.2000,0.1000,0.2558,0.6826,0.9049
5,0,1000,1.0000,0.0000,0.5000,0.5000,0.2000,0.1000,0.2725,0.5609,0.8913
5,0,1000,0.5250,0.4750,1.5000,0.5000,0.2000,0.1000,0.1195,0.3104,0.7861
5,0,1000,0.6750,0.3250,1.0000,0.5000,0.2000,0.1000,0.1418,0.4012,0.8236
5,0,1000,0.9250,0.0750,1.0000,0.2000,0.2000,0.1000,0.2644,0.7006,0.9374
5,0,1000,0.6500,0.3500,2.0000,0.5000,0.2000,0.1000,0.2218,0.3792,0.8426
5,0,1000,0.8500,0.1500,1.5000,0.2000,0.2000,0.1000,0.2659,0.6367,0.9293
5,0,1000,0.7750,0.2250,1.0000,0.5000,0.2000,0.1000,0.1742,0.4501,0.8413
5,0,1000,1.0000,0.0000,0.5000,0.2000,0.2000,0.1000,0.3446,0.7505,0.9427
5,0,1000,0.9750,0.0250,1.5000,0.5000,0.2000,0.1000,0.3686,0.5419,0.9185
5,0,1000,0.9750,0.0250,1.0000,0.2000,0.2000,0.1000,0.3704,0.7236,0.9529
5,0,1000,0.9500,0.0500,0.5000,0.2000,0.2000,0.1000,0.1867,0.7685,0.9407
5,0,1000,0.8000,0.2000,0.5000,0.5000,0.2000,0.1000,0.1683,0.4671,0.8380
5,0,1000,0.8000,0.2000,2.0000,0.5000,0.2000,0.1000,0.3097,0.4501,0.8880
5,0,1000,0.5250,0.4750,0.5000,0.5000,0.2000,0.1000,0.0581,0.3453,0.7746
5,0,1000,0.9750,0.0250,1.5000,0.2000,0.2000,0.1000,0.1468,0.7216,0.9636
5,0,1000,1.0000,0.0000,1.5000,0.2000,0.2000,0.1000,0.4103,0.7655,0.9699
5,0,1000,0.7750,0.2250,1.0000,0.2000,0.2000,0.1000,0.1536,0.6537,0.9174
