job_id,rep,n_steps,theta_1,theta_2,theta_3,theta_4,theta_5,theta_6,modularity,proportion_pure_edges,mean_majority_proportion
6,0,1000,0.8000,0.2000,2.0000,0.5000,0.2000,0.1000,0.2469,0.4341,0.8833
6,0,1000,1.0000,0.0000,0.5000,0.5000,0.2000,0.1000,0.2975,0.5679,0.8831
6,0,1000,0.7750,0.2250,0.5000,0.5000,0.2000,0.1000,0.1234,0.4381,0.8132
6,0,1000,1.0000,0.0000,1.0000,0.2000,0.2000,0.1000,0.3859,0.7475,0.9620
6,0,1000,0.5500,0.4500,0.5000,0.5000,0.2000,0.1000,0.0169,0.3064,0.7437
6,0,1000,1.0000,0.0000,1.5000,0.2000,0.2000,0.1000,0.1748,0.7305,0.9644
6,0,1000,0.6000,0.4000,0.5000,0.5000,0.2000,0.1000,0.0405,0.3184,0.7611
6,0,1000,0.7000,0.3000,2.0000,0.2000,0.2000,0.1000,0.2458,0.6198,0.9242
6,0,1000,0.5250,0.4750,1.5000,0.2000,0.2000,0.1000,0.2302,0.5309,0.8631
6,0,1000,0.6750,0.3250,0.5000,0.2000,0.2000,0.1000,0.2233,0.6128,0.8739
6,0,1000,0.7000,0.3000,0.5000,0.2000,0.2000,0.1000,0.1033,0.6168,0.8769
6,0,1000,0.7500,0.2500,1.5000,0.5000,0.2000,0.1000,0.2014,0.4371,0.8621
6,0,1000,0.7500,0.2500,2.0000,0.2000,0.2000,0.1000,0.2446,0.6697,0.9399
6,0,1000,1.0000,0.0000,0.5000,0.2000,0.2000,0.1000,0.3633,0.7375,0.9450
6,0,1000,0.5250,0.4750,1.5000,0.5000,0.2000,0.1000,0.1201,0.3034,0.7873
6,0,1000,0.9750,0.0250,1.0000,0.5000,0.2000,0.1000,0.2516,0.5349,0.9056
6,0,1000,0.8750,0.1250,2.0000,0.5000,0.2000,0.1000,0.3462,0.4950,0.9060
6,0,1000,0.8000,0.2000,1.0000,0.5000,0.2000,0.1000,0.2342,0.4551,0.8461
6,0,1000,0.9000,0.1000,2.0000,0.2000,0.2000,0.1000,0.3901,0.6966,0.9480
6,0,1000,0.9750,0.0250,0.5000,0.5000,0.2000,0.1000,0.2571,0.5369,0.8775
6,0,1000,0.6500,0.3500,1.0000,0.5000,0.2000,0.1000,0.1430,0.3772,0.8115
6,0,1000,0.5000,0.5000,2.0000,0.2000,0.2000,0.1000,0.1572,0.5599,0.8922
6,0,1000,0.8250,0.1750,1.5000,0.2000,0.2000,0.1000,0.2279,0.6677,0.9309
6,0,1000,0.9250,0.0750,0.5000,0.2000,0.2000,0.1000,0.3376,0.7226,0.9295
