likelihood,ari,step_num
-445102.1267293175,0.0009363350313342704,0
-444905.6147518966,-0.0002654481578026916,64
-444465.3053934962,-0.0010918693725845618,67
-444219.4411152785,-0.0005993457557226082,68
-443627.7108212905,-0.0034880799956620327,95
-443468.8757409955,-0.003445361858920023,96
-443378.4241250709,-0.002382523406152474,97
-443223.7374511681,-0.0017976683254899407,98
-442548.7732769855,-0.0018406851922962715,99
-442510.6877716884,-0.0022117811657433343,100
-442254.79114833206,-0.000792343044699878,101
-442066.7110550187,-0.0022117811657433343,259
-441985.1157004979,-0.0020125967917142937,261
-441885.1773711985,-0.0013935003753148731,262
-441450.33055096515,-0.0005160504594139215,263
-441266.65073421376,-0.0007146019288659168,265
-441242.6862744504,-0.0017132875252542194,266
-441220.27533316327,-0.001912345318367851,267
-441018.49810825713,-0.002589501012007981,269
-440823.07442632713,-0.0034095245552452683,270
-440793.8539372291,-0.003188553667777349,271
-440486.1122062009,-0.0028319215336602764,273
-440146.64575616,-0.0020972489679317737,277
-440081.305487065,-0.0034880799956620327,284
-440075.83382935583,-0.002739264175950323,290
-440074.82449388836,-0.002511217013118818,292
-439261.138029183,-0.0016909220283539295,293
-439135.3022969032,-0.0016129094709923673,294
-439075.39094293304,-0.0018406851922962715,295
-438475.2197252522,-0.0014980876830481076,296
-438312.3784791004,-0.00043513152028533213,297
-436979.09763173905,0.00014960585038197456,298
-436920.8172456389,0.0010628622380740081,307
-436340.23219659086,0.0014977187413702236,312
-436245.2485264642,0.001048347777707474,316
-436117.53730653174,0.00226125724476148,318
-435258.3093290717,0.0035947832384630556,319
-435231.7410781652,0.003251262381743354,320
-434748.71251916455,0.004675243323892787,321
-434169.7050144146,0.004375807476517303,330
-434031.3742671468,0.004123243170717232,336
-433928.595916581,0.003392846452468559,337
-433121.095066749,0.004876193599146058,338
-433097.9867602548,0.005636446527992042,341
-433087.30163502786,0.006368062669167791,344
-432973.67588773905,0.007220448026584396,349
-432871.18620401795,0.006621576331833429,356
-431617.90656507015,0.007944535679900722,371
-431532.3183829387,0.009149605288492395,373
-431188.03242468997,0.010175210535964504,377
-431128.35589266405,0.009237652272694852,379
-430916.4754579671,0.010026498878893585,383
-430742.1746198667,0.022034774855104772,451
-430304.70529968804,0.023217315318403126,456
-429832.5102907225,0.024367868497613566,463
-428888.9039781379,0.026063331421600538,464
-428696.52868483425,0.026063331421600538,480
-428492.4600961096,0.02796218443222977,481
-428413.07007257757,0.029378700732370176,484
-428357.54012667557,0.029378700732370176,488
-426644.4829699348,0.031659695685044086,491
-426375.4610492203,0.032522777129812754,493
-426173.58844878315,0.03465278834964483,500
-425616.93071557005,0.03794519028070565,503
-425543.2010780773,0.039290447660844295,529
-425374.99653734174,0.040600502984020875,533
-425263.1642643807,0.03918652682291394,535
-425221.9809286959,0.038039868758079035,536
-425124.3472507809,0.03902527200772275,544
-425118.275643019,0.0417606162466557,545
-424685.75576162274,0.04333791006277939,548
-424611.0769325801,0.04859192374803561,611
-424142.6515764587,0.04964445497126622,613
-423934.2629467492,0.04882804477967351,616
-423529.1620058333,0.05080726647396462,623
-423412.6045854216,0.04848949962772406,722
-422840.9710547283,0.05077349291632533,738
-422744.27852242405,0.054901963666996595,757
-422667.83308655646,0.055765151962453276,758
-421991.46574084676,0.05793949833400196,759
-421489.07208798005,0.06069393240934334,764
-421292.809413037,0.060928980290895246,769
-420752.9873416772,0.06397978604060339,770
-420581.74149732385,0.06263557319145156,773
